Year;Type;Region;value;Total
2017;Private;Northern Borders;1051.0;1118024.0
2017;Taxi;Al-Madinah Al-Monawarah;4.0;27417.0
2017;Taxi;Tabouk;0.0;27417.0
2017;Taxi;Najran;0.0;27417.0
2017;Taxi;Al-Baha;16.0;27417.0
2017;Public -Truck;Najran;152.0;76415.0
2017;Private-Truck;Makkah Al-Mokarramah;50855.0;144758.0
2017;Private-Truck;Eastern Region;46.0;144758.0
2017;Private-Truck;Aseer;16.0;144758.0
2017;Public Bus;Makkah Al-Mokarramah;3145.0;7100.0
2017;Public Bus;Eastern Region;18.0;7100.0
2017;Public Bus;Najran;0.0;7100.0
2017;Private Bus;Al-Madinah Al-Monawarah;92.0;16289.0
2017;Private Bus;Aseer;1536.0;16289.0
2017;Private Bus;Jazan;0.0;16289.0
2017;Private Bus;Al-Jouf;14.0;16289.0
2017;Motor-Cycle;Al-Qaseem;103.0;3631.0
2017;Vehicles;Al-Riyadh;1134.0;2075.0
2018;Private;Al-Riyadh;285457.0;1118089.0
2018;Private;Aseer;48660.0;1118089.0
2018;Private;Northern Borders;828.0;1118089.0
2018;Private;Najran;2588.0;1118089.0
2018;Taxi;Eastern Region;903.0;28502.0
2018;Taxi;Najran;3.0;28502.0
2018;Public -Truck;Eastern Region;10307.0;59528.0
2018;Public -Truck;Hail;182.0;59528.0
2018;Private-Truck;Al-Riyadh;64932.0;186420.0
2018;Private-Truck;Aseer;21065.0;186420.0
2018;Private-Truck;Al-Baha;499.0;186420.0
2018;Public Bus;Tabouk;0.0;3383.0
2018;Public Bus;Najran;66.0;3383.0
2018;Public Bus;Al-Baha;0.0;3383.0
2018;Public Bus;Al-Jouf;13.0;3383.0
2018;Private Bus;Tabouk;0.0;15411.0
2018;Private Bus;Northern Borders;0.0;15411.0
2018;Motor-Cycle;Al-Madinah Al-Monawarah;63.0;3829.0
2018;Vehicles;Tabouk;0.0;2324.0
2019;Private;Najran;3564.0;1012346.0
2019;Taxi;Al-Madinah Al-Monawarah;0.0;25013.0
2019;Taxi;Aseer;30.0;25013.0
2019;Taxi;Najran;0.0;25013.0
2019;Public -Truck;Al-Riyadh;41257.0;76275.0
2019;Public -Truck;Makkah Al-Mokarramah;11358.0;76275.0
2019;Public -Truck;Al-Qaseem;7776.0;76275.0
2019;Public -Truck;Eastern Region;7100.0;76275.0
2019;Private-Truck;Makkah Al-Mokarramah;12783.0;106395.0
2019;Private-Truck;Najran;3361.0;106395.0
2019;Public Bus;Al-Riyadh;809.0;4633.0
2019;Public Bus;Al-Madinah Al-Monawarah;22.0;4633.0
2019;Public Bus;Hail;77.0;4633.0
2019;Private Bus;Al-Madinah Al-Monawarah;29.0;8701.0
2019;Private Bus;Jazan;22.0;8701.0
2019;Motor-Cycle;Al-Madinah Al-Monawarah;220.0;4719.0
2019;Vehicles;Eastern Region;451.0;2691.0
2019;Vehicles;Aseer;95.0;2691.0
2019;Vehicles;Jazan;26.0;2691.0
2017;Private;Eastern Region;431596.0;1118024.0
2017;Private;Aseer;72563.0;1118024.0
2017;Private;Al-Baha;1380.0;1118024.0
2017;Private;Al-Jouf;4181.0;1118024.0
2017;Taxi;Al-Qaseem;484.0;27417.0
2017;Taxi;Aseer;98.0;27417.0
2017;Taxi;Northern Borders;0.0;27417.0
2017;Public -Truck;Hail;193.0;76415.0
2017;Public -Truck;Jazan;272.0;76415.0
2017;Public -Truck;Al-Baha;43.0;76415.0
2017;Public -Truck;Al-Jouf;336.0;76415.0
2017;Private-Truck;Tabouk;3072.0;144758.0
2017;Public Bus;Tabouk;0.0;7100.0
2017;Private Bus;Eastern Region;0.0;16289.0
2017;Motor-Cycle;Makkah Al-Mokarramah;1398.0;3631.0
2017;Motor-Cycle;Al-Madinah Al-Monawarah;53.0;3631.0
2017;Motor-Cycle;Eastern Region;912.0;3631.0
2017;Vehicles;Hail;2.0;2075.0
2018;Private;Al-Qaseem;16356.0;1118089.0
2018;Private;Eastern Region;319620.0;1118089.0
2018;Private;Hail;7309.0;1118089.0
2018;Taxi;Al-Qaseem;387.0;28502.0
